table_id,page_number,table_name
TBL-0191,499,府県別従業員数
TBL-0192,499,職業別従業員数
TBL-0193,500,府県別露領水産組合員数
TBL-0193,501,府県別露領水産組合員数
TBL-0194-01,502,府県別露領水産組合員名簿_北海道関係組合員名簿
TBL-0194-02,503,府県別露領水産組合員名簿_道外関係組合員名簿
TBL-0194-02,504,府県別露領水産組合員名簿_道外関係組合員名簿
TBL-0195-01,506,監視区別・漁区別借区者異動、漁獲量_西南区
TBL-0195-01,507,監視区別・漁区別借区者異動、漁獲量_西南区
TBL-0195-01,508,監視区別・漁区別借区者異動、漁獲量_西南区
TBL-0195-01,509,監視区別・漁区別借区者異動、漁獲量_西南区
TBL-0195-01,510,監視区別・漁区別借区者異動、漁獲量_西南区
TBL-0195-01,511,監視区別・漁区別借区者異動、漁獲量_西南区
TBL-0195-02,512,監視区別・漁区別借区者異動、漁獲量_サガレン区
TBL-0195-02,513,監視区別・漁区別借区者異動、漁獲量_サガレン区
TBL-0195-03,514,監視区別・漁区別借区者異動、漁獲量_オホストスキー
TBL-0195-03,515,監視区別・漁区別借区者異動、漁獲量_オホストスキー
TBL-0195-03,516,監視区別・漁区別借区者異動、漁獲量_オホストスキー
TBL-0195-03,517,監視区別・漁区別借区者異動、漁獲量_オホストスキー
TBL-0195-03,518,監視区別・漁区別借区者異動、漁獲量_オホストスキー
TBL-0195-03,519,監視区別・漁区別借区者異動、漁獲量_オホストスキー
TBL-0195-03,520,監視区別・漁区別借区者異動、漁獲量_オホストスキー
TBL-0195-03,521,監視区別・漁区別借区者異動、漁獲量_オホストスキー
TBL-0195-03,522,監視区別・漁区別借区者異動、漁獲量_オホストスキー
TBL-0195-03,523,監視区別・漁区別借区者異動、漁獲量_オホストスキー
TBL-0195-03,524,監視区別・漁区別借区者異動、漁獲量_オホストスキー
TBL-0195-04,525,監視区別・漁区別借区者異動、漁獲量_ギジギンスキー
TBL-0195-04,526,監視区別・漁区別借区者異動、漁獲量_ギジギンスキー
TBL-0195-04,527,監視区別・漁区別借区者異動、漁獲量_ギジギンスキー
TBL-0195-04,528,監視区別・漁区別借区者異動、漁獲量_ギジギンスキー
TBL-0195-05,529,監視区別・漁区別借区者異動、漁獲量_西カムチャツカ区1
